NA_L3NAME,variable,year,month,value
Central Corn Belt Plains,fwi,1983,Feb,0.9512554491979742
Central Great Plains,fwi,1983,Feb,2.033245040565364
Central Irregular Plains,fwi,1983,Feb,1.6191030998278089
Chihuahuan Deserts,fwi,1983,Feb,13.61601125515271
Coast Range,fwi,1983,Feb,0.12549694648902343
Colorado Plateaus,fwi,1983,Feb,2.7959569010079717
Columbia Mountains/Northern Rockies,fwi,1983,Feb,0.20789722326257198
Columbia Plateau,fwi,1983,Feb,0.46102119660434715
Cross Timbers,fwi,1983,Feb,2.4534951085392978
Driftless Area,fwi,1983,Feb,0.29058326833560816
East Central Texas Plains,fwi,1983,Feb,2.818820002051515
Eastern Cascades Slopes and Foothills,fwi,1983,Feb,0.26532849775500883
Eastern Corn Belt Plains,fwi,1983,Feb,1.5086276867902442
Eastern Great Lakes Lowlands,fwi,1983,Feb,0.7151576485115153
Edwards Plateau,fwi,1983,Feb,6.422555466986864
Erie Drift Plain,fwi,1983,Feb,1.268309000951503
Flint Hills,fwi,1983,Feb,1.4077251003007893
High Plains,fwi,1983,Feb,7.136103931688998
Huron/Erie Lake Plains,fwi,1983,Feb,0.7445158084530142
Idaho Batholith,fwi,1983,Feb,0.21219927593256435
Interior Plateau,fwi,1983,Feb,1.466797991209115
Interior River Valleys and Hills,fwi,1983,Feb,1.8354343447002393
Klamath Mountains,fwi,1983,Feb,0.14974309030819583
Lake Manitoba and Lake Agassiz Plain,fwi,1983,Feb,0.4493198178066097
Madrean Archipelago,fwi,1983,Feb,8.947583667831315
Middle Atlantic Coastal Plain,fwi,1983,Feb,0.6117026380628173
Middle Rockies,fwi,1983,Feb,1.8797351001845013
Mississippi Alluvial Plain,fwi,1983,Feb,1.0407635075012769
Mississippi Valley Loess Plains,fwi,1983,Feb,1.191523989487122
Mojave Basin and Range,fwi,1983,Feb,7.76725609125408
Nebraska Sand Hills,fwi,1983,Feb,5.54922616084847
North Cascades,fwi,1983,Feb,0.09792711162726093
North Central Appalachians,fwi,1983,Feb,0.9886213866048965
North Central Hardwood Forests,fwi,1983,Feb,0.28355523783033376
Northeastern Coastal Zone,fwi,1983,Feb,0.6190446376029498
Northern Allegheny Plateau,fwi,1983,Feb,1.1139616634714546
Northern Appalachian and Atlantic Maritime Highlands,fwi,1983,Feb,0.4347081853677908
Northern Basin and Range,fwi,1983,Feb,0.9328549926285697
Northern Lakes and Forests,fwi,1983,Feb,0.28317194879286767
Northern Minnesota Wetlands,fwi,1983,Feb,0.2539993697218597
Northern Piedmont,fwi,1983,Feb,0.9938787784528932
Northwestern Glaciated Plains,fwi,1983,Feb,3.36895216174451
Northwestern Great Plains,fwi,1983,Feb,6.005803089434757
Ouachita Mountains,fwi,1983,Feb,1.6042741933151294
Ozark Highlands,fwi,1983,Feb,3.209845291697534
Piedmont,fwi,1983,Feb,0.8759532040273017
Ridge and Valley,fwi,1983,Feb,1.1022544722405203
Sierra Nevada,fwi,1983,Feb,0.4501889805537487
Snake River Plain,fwi,1983,Feb,0.8713864623351353
Sonoran Desert,fwi,1983,Feb,11.69195636389148
South Central Plains,fwi,1983,Feb,1.6839831454317855
Southeastern Plains,fwi,1983,Feb,0.9984949731687072
Southeastern Wisconsin Till Plains,fwi,1983,Feb,0.2891217437675018
Southern and Baja California Pine-Oak Mountains,fwi,1983,Feb,3.0575885678556833
Southern Coastal Plain,fwi,1983,Feb,1.636838424312023
Southern Florida Coastal Plain,fwi,1983,Feb,1.633692594916642
Southern Michigan/Northern Indiana Drift Plains,fwi,1983,Feb,0.6240538082903003
Southern Rockies,fwi,1983,Feb,1.8620236092762212
Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,fwi,1983,Feb,7.505702640076169
Southwestern Appalachians,fwi,1983,Feb,0.9711527305534375
Southwestern Tablelands,fwi,1983,Feb,5.031341504940019
Strait of Georgia/Puget Lowland,fwi,1983,Feb,0.23952307737589576
Texas Blackland Prairies,fwi,1983,Feb,2.2891778022605553
Wasatch and Uinta Mountains,fwi,1983,Feb,0.6938430504831764
Western Allegheny Plateau,fwi,1983,Feb,1.3224822354656616
Western Corn Belt Plains,fwi,1983,Feb,0.5646582051760006
Western Gulf Coastal Plain,fwi,1983,Feb,3.2450598352227673
Willamette Valley,fwi,1983,Feb,0.11772826210342371
Wyoming Basin,fwi,1983,Feb,2.9676298728434127
Acadian Plains and Hills,fwi,1983,Mar,0.33385186081351514
Arizona/New Mexico Mountains,fwi,1983,Mar,4.719684101185507
Arizona/New Mexico Plateau,fwi,1983,Mar,5.627005055198247
Arkansas Valley,fwi,1983,Mar,4.595973337509915
Aspen Parkland/Northern Glaciated Plains,fwi,1983,Mar,0.3457412239014611
Atlantic Coastal Pine Barrens,fwi,1983,Mar,0.6471600817424841
Blue Mountains,fwi,1983,Mar,0.5088281149585012
Blue Ridge,fwi,1983,Mar,1.5500003575258288
Boston Mountains,fwi,1983,Mar,3.6157191409758203
"California Coastal Sage, Chaparral, and Oak Woodlands",fwi,1983,Mar,0.6057664938079308
Canadian Rockies,fwi,1983,Mar,0.2571746705612027
Cascades,fwi,1983,Mar,0.10318525305505154
Central Appalachians,fwi,1983,Mar,2.0578238781533504
Central Basin and Range,fwi,1983,Mar,1.8455024945375904
Central California Valley,fwi,1983,Mar,0.7162331270803417
Central Corn Belt Plains,fwi,1983,Mar,1.5481252604553257
Central Great Plains,fwi,1983,Mar,3.7822610284120572
Central Irregular Plains,fwi,1983,Mar,2.5810492744674494
Chihuahuan Deserts,fwi,1983,Mar,22.90582649220331
Coast Range,fwi,1983,Mar,0.17894876100521093
Colorado Plateaus,fwi,1983,Mar,2.7439927156982455
Columbia Mountains/Northern Rockies,fwi,1983,Mar,0.6781634291295002
Columbia Plateau,fwi,1983,Mar,1.4579084061491416
Cross Timbers,fwi,1983,Mar,4.5525708945208345
Driftless Area,fwi,1983,Mar,0.6545118259895043
East Central Texas Plains,fwi,1983,Mar,5.313148130105787
Eastern Cascades Slopes and Foothills,fwi,1983,Mar,0.2671768686720404
Eastern Corn Belt Plains,fwi,1983,Mar,2.561926242920747
Eastern Great Lakes Lowlands,fwi,1983,Mar,0.9649033824394222
Edwards Plateau,fwi,1983,Mar,11.221741737710294
Erie Drift Plain,fwi,1983,Mar,2.151570004333715
Flint Hills,fwi,1983,Mar,3.324897521386574
High Plains,fwi,1983,Mar,9.821890548969792
Huron/Erie Lake Plains,fwi,1983,Mar,1.685322974036582
Idaho Batholith,fwi,1983,Mar,0.22600130023762685
Interior Plateau,fwi,1983,Mar,2.8127844281178054
Interior River Valleys and Hills,fwi,1983,Mar,2.0259451431143467
Klamath Mountains,fwi,1983,Mar,0.07618424355088808
Lake Manitoba and Lake Agassiz Plain,fwi,1983,Mar,0.40754304254760765
Madrean Archipelago,fwi,1983,Mar,8.211474980970825
Middle Atlantic Coastal Plain,fwi,1983,Mar,2.02345087525905
Middle Rockies,fwi,1983,Mar,1.7578699414360122
Mississippi Alluvial Plain,fwi,1983,Mar,3.3304596475060735
Mississippi Valley Loess Plains,fwi,1983,Mar,3.014740679008297
Mojave Basin and Range,fwi,1983,Mar,8.018179733253772
Nebraska Sand Hills,fwi,1983,Mar,3.14954243028364
North Cascades,fwi,1983,Mar,0.2733175551949447
North Central Appalachians,fwi,1983,Mar,1.2491157790780931
North Central Hardwood Forests,fwi,1983,Mar,0.39511770857906553
Northeastern Coastal Zone,fwi,1983,Mar,0.5082233998048694
Northern Allegheny Plateau,fwi,1983,Mar,1.1477466749354575
Northern Appalachian and Atlantic Maritime Highlands,fwi,1983,Mar,0.3688824560875407
Northern Basin and Range,fwi,1983,Mar,0.5737753813513926
Northern Lakes and Forests,fwi,1983,Mar,0.4946024445309934
Northern Minnesota Wetlands,fwi,1983,Mar,0.7754851129092276
Northern Piedmont,fwi,1983,Mar,1.4707813731373232
Northwestern Glaciated Plains,fwi,1983,Mar,2.1576568172802055
Northwestern Great Plains,fwi,1983,Mar,4.75886232081802
Ouachita Mountains,fwi,1983,Mar,4.657855443421163
Ozark Highlands,fwi,1983,Mar,3.7912565162705025
Piedmont,fwi,1983,Mar,2.298360447871488
Ridge and Valley,fwi,1983,Mar,1.9717292468292176
Sierra Nevada,fwi,1983,Mar,0.18882341194140764
Snake River Plain,fwi,1983,Mar,0.9056934279946732
Sonoran Desert,fwi,1983,Mar,13.305782734896335
South Central Plains,fwi,1983,Mar,4.567356455223755
Southeastern Plains,fwi,1983,Mar,2.3204942774337267
Southeastern Wisconsin Till Plains,fwi,1983,Mar,0.5527009303995711
Southern and Baja California Pine-Oak Mountains,fwi,1983,Mar,1.2956906269558452
Southern Coastal Plain,fwi,1983,Mar,2.628554286697461
Southern Florida Coastal Plain,fwi,1983,Mar,4.054380278198087
Southern Michigan/Northern Indiana Drift Plains,fwi,1983,Mar,1.68846180453642
Southern Rockies,fwi,1983,Mar,1.139464978432515
Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,fwi,1983,Mar,15.493138216003839
Southwestern Appalachians,fwi,1983,Mar,2.097390150245221
Southwestern Tablelands,fwi,1983,Mar,9.396402223850652
Strait of Georgia/Puget Lowland,fwi,1983,Mar,0.7419088897562384
Texas Blackland Prairies,fwi,1983,Mar,4.3106434685122945
Wasatch and Uinta Mountains,fwi,1983,Mar,0.4196046282954933
Western Allegheny Plateau,fwi,1983,Mar,2.86155660332099
Western Corn Belt Plains,fwi,1983,Mar,0.8493929288301412
Western Gulf Coastal Plain,fwi,1983,Mar,7.7240859765890715
Willamette Valley,fwi,1983,Mar,0.29308892938288195
Wyoming Basin,fwi,1983,Mar,3.5111046599585514
Acadian Plains and Hills,fwi,1983,Apr,0.5014270114585488
Arizona/New Mexico Mountains,fwi,1983,Apr,13.220859789462796
Arizona/New Mexico Plateau,fwi,1983,Apr,16.708541208840344
Arkansas Valley,fwi,1983,Apr,2.5504594951886372
Aspen Parkland/Northern Glaciated Plains,fwi,1983,Apr,4.575137056224356
Atlantic Coastal Pine Barrens,fwi,1983,Apr,1.5787188078841714
Blue Mountains,fwi,1983,Apr,3.4655346769647766
Blue Ridge,fwi,1983,Apr,2.0910322473845078
Boston Mountains,fwi,1983,Apr,1.5506219933147924
"California Coastal Sage, Chaparral, and Oak Woodlands",fwi,1983,Apr,5.6340270183381325
Canadian Rockies,fwi,1983,Apr,2.054281991481601
Cascades,fwi,1983,Apr,1.3277405178411228
Central Appalachians,fwi,1983,Apr,1.7121925847907904
Central Basin and Range,fwi,1983,Apr,6.162359551154527
Central California Valley,fwi,1983,Apr,8.243450920968678
Central Corn Belt Plains,fwi,1983,Apr,1.9903215984055909
Central Great Plains,fwi,1983,Apr,7.33351627696081
Central Irregular Plains,fwi,1983,Apr,1.7878405516094276
Chihuahuan Deserts,fwi,1983,Apr,33.56530325036859
Coast Range,fwi,1983,Apr,2.0206143928705402
Colorado Plateaus,fwi,1983,Apr,10.107179564579347
Columbia Mountains/Northern Rockies,fwi,1983,Apr,4.060201411870784
Columbia Plateau,fwi,1983,Apr,8.275399613202445
Cross Timbers,fwi,1983,Apr,12.205381458372283
Driftless Area,fwi,1983,Apr,2.5032850934638353
East Central Texas Plains,fwi,1983,Apr,17.605600198214688
Eastern Cascades Slopes and Foothills,fwi,1983,Apr,2.9882987604732008
Eastern Corn Belt Plains,fwi,1983,Apr,2.12061382472245
Eastern Great Lakes Lowlands,fwi,1983,Apr,0.6113745692349573
Edwards Plateau,fwi,1983,Apr,30.061754567031052
Erie Drift Plain,fwi,1983,Apr,1.7910865441314856
Flint Hills,fwi,1983,Apr,2.5267175846765073
High Plains,fwi,1983,Apr,13.51371757840518
Huron/Erie Lake Plains,fwi,1983,Apr,1.8884332909512875
Idaho Batholith,fwi,1983,Apr,2.3855882891277136
Interior Plateau,fwi,1983,Apr,1.5920917648461024
Interior River Valleys and Hills,fwi,1983,Apr,1.5401312378094365
Klamath Mountains,fwi,1983,Apr,2.280592231376393
Lake Manitoba and Lake Agassiz Plain,fwi,1983,Apr,6.2504773638576765
Madrean Archipelago,fwi,1983,Apr,25.544090955601142
Middle Atlantic Coastal Plain,fwi,1983,Apr,3.7580328101277325
Middle Rockies,fwi,1983,Apr,3.7761152834562837
Mississippi Alluvial Plain,fwi,1983,Apr,2.3982662835578417
Mississippi Valley Loess Plains,fwi,1983,Apr,2.073134476561183
Mojave Basin and Range,fwi,1983,Apr,21.052478298892844
Nebraska Sand Hills,fwi,1983,Apr,5.120646995276971
North Cascades,fwi,1983,Apr,2.134382157950641
North Central Appalachians,fwi,1983,Apr,0.708658865828445
North Central Hardwood Forests,fwi,1983,Apr,3.3359891431788045
Northeastern Coastal Zone,fwi,1983,Apr,1.4892986353010464
Northern Allegheny Plateau,fwi,1983,Apr,0.4796084318149603
Northern Appalachian and Atlantic Maritime Highlands,fwi,1983,Apr,0.5698479096566612
Northern Basin and Range,fwi,1983,Apr,3.6160388205236274
Northern Lakes and Forests,fwi,1983,Apr,2.9969473754822005
Northern Minnesota Wetlands,fwi,1983,Apr,5.260211639106274
Northern Piedmont,fwi,1983,Apr,2.0449375946941615
Northwestern Glaciated Plains,fwi,1983,Apr,10.573641587837026
Northwestern Great Plains,fwi,1983,Apr,11.253649814388305
Ouachita Mountains,fwi,1983,Apr,2.7815432101488113
Ozark Highlands,fwi,1983,Apr,1.4717841532124516
Piedmont,fwi,1983,Apr,3.695959362323281
Ridge and Valley,fwi,1983,Apr,1.862272867012944
Sierra Nevada,fwi,1983,Apr,1.9146170953525286
Snake River Plain,fwi,1983,Apr,6.902681026747015
Sonoran Desert,fwi,1983,Apr,33.875177216074825
South Central Plains,fwi,1983,Apr,6.353022251105843
Southeastern Plains,fwi,1983,Apr,3.8268450689172835
Southeastern Wisconsin Till Plains,fwi,1983,Apr,2.7627955484770967
Southern and Baja California Pine-Oak Mountains,fwi,1983,Apr,5.741056373850866
Southern Coastal Plain,fwi,1983,Apr,6.168296346185482
Southern Florida Coastal Plain,fwi,1983,Apr,7.989902074239692
Southern Michigan/Northern Indiana Drift Plains,fwi,1983,Apr,1.8890795346895377
Southern Rockies,fwi,1983,Apr,2.7801848004247387
Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,fwi,1983,Apr,39.202198526984056
Southwestern Appalachians,fwi,1983,Apr,1.8954098143211284
Southwestern Tablelands,fwi,1983,Apr,15.662470374714001
Strait of Georgia/Puget Lowland,fwi,1983,Apr,2.9529135629522334
Texas Blackland Prairies,fwi,1983,Apr,17.583821178087728
Wasatch and Uinta Mountains,fwi,1983,Apr,1.817074294012005
Western Allegheny Plateau,fwi,1983,Apr,1.6170027223478267
Western Corn Belt Plains,fwi,1983,Apr,2.6446127020939874
Western Gulf Coastal Plain,fwi,1983,Apr,19.134893392672005
Willamette Valley,fwi,1983,Apr,2.039775564603993
Wyoming Basin,fwi,1983,Apr,4.5823366010881905
Acadian Plains and Hills,fwi,1983,May,1.1628356659255787
Arizona/New Mexico Mountains,fwi,1983,May,35.677487025534234
Arizona/New Mexico Plateau,fwi,1983,May,35.701238304422596
Arkansas Valley,fwi,1983,May,2.6116760570576534
Aspen Parkland/Northern Glaciated Plains,fwi,1983,May,12.071840095257878
Atlantic Coastal Pine Barrens,fwi,1983,May,3.5944072325698664
Blue Mountains,fwi,1983,May,9.772367155246377
Blue Ridge,fwi,1983,May,3.9099839751854413
Boston Mountains,fwi,1983,May,2.152726196756469
"California Coastal Sage, Chaparral, and Oak Woodlands",fwi,1983,May,17.201682789107977
Canadian Rockies,fwi,1983,May,5.4192826234682085
Cascades,fwi,1983,May,6.182545678363552
Central Appalachians,fwi,1983,May,2.7208666104233448
Central Basin and Range,fwi,1983,May,17.920713894760848
Central California Valley,fwi,1983,May,24.169141251610238
Central Corn Belt Plains,fwi,1983,May,2.900542082327556
Central Great Plains,fwi,1983,May,10.253782748940054
Central Irregular Plains,fwi,1983,May,2.661622008971956
Chihuahuan Deserts,fwi,1983,May,46.66091396129895
Coast Range,fwi,1983,May,4.870998847034108
Colorado Plateaus,fwi,1983,May,21.26175797898437
Columbia Mountains/Northern Rockies,fwi,1983,May,9.62957184124228
Columbia Plateau,fwi,1983,May,18.62251634891034
Cross Timbers,fwi,1983,May,9.823822585375526
Driftless Area,fwi,1983,May,1.4854775706080139
East Central Texas Plains,fwi,1983,May,11.826835114244966
Eastern Cascades Slopes and Foothills,fwi,1983,May,11.660580761242757
Eastern Corn Belt Plains,fwi,1983,May,2.205011624201367
Eastern Great Lakes Lowlands,fwi,1983,May,1.537311368043186
Edwards Plateau,fwi,1983,May,26.08694024899309
Erie Drift Plain,fwi,1983,May,1.7100348534222993
Flint Hills,fwi,1983,May,4.877008219476357
High Plains,fwi,1983,May,18.726199527909007
Huron/Erie Lake Plains,fwi,1983,May,2.6881971281559314
Idaho Batholith,fwi,1983,May,6.613415467976981
Interior Plateau,fwi,1983,May,1.8439499138378825
Interior River Valleys and Hills,fwi,1983,May,2.712096474984152
Klamath Mountains,fwi,1983,May,11.104385179402552
Lake Manitoba and Lake Agassiz Plain,fwi,1983,May,12.298369689951226
Madrean Archipelago,fwi,1983,May,49.62393978388623
Middle Atlantic Coastal Plain,fwi,1983,May,8.811313045368273
Middle Rockies,fwi,1983,May,6.861366913440317
Mississippi Alluvial Plain,fwi,1983,May,4.334089962783835
Mississippi Valley Loess Plains,fwi,1983,May,4.287741465336621
Mojave Basin and Range,fwi,1983,May,41.25908462053502
Nebraska Sand Hills,fwi,1983,May,7.541362758062308
North Cascades,fwi,1983,May,7.12774628742521
North Central Appalachians,fwi,1983,May,1.8762608875255078
North Central Hardwood Forests,fwi,1983,May,5.146906172213851
Northeastern Coastal Zone,fwi,1983,May,2.3569956549911586
Northern Allegheny Plateau,fwi,1983,May,1.6657424973284474
Northern Appalachian and Atlantic Maritime Highlands,fwi,1983,May,1.1082910670615005
Northern Basin and Range,fwi,1983,May,9.93241665691188
Northern Lakes and Forests,fwi,1983,May,5.446620743182918
Northern Minnesota Wetlands,fwi,1983,May,10.807805023789406
Northern Piedmont,fwi,1983,May,4.507344588918506
Northwestern Glaciated Plains,fwi,1983,May,14.175217029691655
Northwestern Great Plains,fwi,1983,May,12.081832269316283
Ouachita Mountains,fwi,1983,May,1.7773445481140362
Ozark Highlands,fwi,1983,May,3.0746630940159623
Piedmont,fwi,1983,May,7.496517539907946
Ridge and Valley,fwi,1983,May,3.815645883812229
Sierra Nevada,fwi,1983,May,11.666174100106478
Snake River Plain,fwi,1983,May,13.534074452296595
Sonoran Desert,fwi,1983,May,49.88598138178814
South Central Plains,fwi,1983,May,4.564624825772298
Southeastern Plains,fwi,1983,May,8.511552536763752
Southeastern Wisconsin Till Plains,fwi,1983,May,1.8508634497662504
Southern and Baja California Pine-Oak Mountains,fwi,1983,May,21.155292319167746
Southern Coastal Plain,fwi,1983,May,14.48746808463014
Southern Florida Coastal Plain,fwi,1983,May,18.76867647722465
Southern Michigan/Northern Indiana Drift Plains,fwi,1983,May,2.9827354236530765
Southern Rockies,fwi,1983,May,6.5848579661453135
Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest,fwi,1983,May,28.63899466340579
Southwestern Appalachians,fwi,1983,May,3.1543124861528593
Southwestern Tablelands,fwi,1983,May,23.393211512043308
Strait of Georgia/Puget Lowland,fwi,1983,May,5.676511246862752
Texas Blackland Prairies,fwi,1983,May,11.01225844484497
Wasatch and Uinta Mountains,fwi,1983,May,5.667806675731491
Western Allegheny Plateau,fwi,1983,May,2.7184953477863383
Western Corn Belt Plains,fwi,1983,May,4.804194373400875
Western Gulf Coastal Plain,fwi,1983,May,14.16862644675583
Willamette Valley,fwi,1983,May,5.500545711280641
Wyoming Basin,fwi,1983,May,8.097780637095575
Acadian Plains and Hills,fwi,1983,Jun,9.56042008031961
Arizona/New Mexico Mountains,fwi,1983,Jun,44.78200756827876
Arizona/New Mexico Plateau,fwi,1983,Jun,42.75616479749339
Arkansas Valley,fwi,1983,Jun,8.482136789097988
Aspen Parkland/Northern Glaciated Plains,fwi,1983,Jun,13.570456141282596
Atlantic Coastal Pine Barrens,fwi,1983,Jun,7.706911163251908
Blue Mountains,fwi,1983,Jun,15.17835001202973
Blue Ridge,fwi,1983,Jun,4.641503736748321
Boston Mountains,fwi,1983,Jun,5.9119848188275315
"California Coastal Sage, Chaparral, and Oak Woodlands",fwi,1983,Jun,31.4447008145017
Canadian Rockies,fwi,1983,Jun,5.257356637014003
Cascades,fwi,1983,Jun,7.983822324391687
Central Appalachians,fwi,1983,Jun,5.696499644417049
Central Basin and Range,fwi,1983,Jun,29.658836596930588
Central California Valley,fwi,1983,Jun,39.03234379652138
Central Corn Belt Plains,fwi,1983,Jun,9.362468241530685
Central Great Plains,fwi,1983,Jun,9.535155227628804
Central Irregular Plains,fwi,1983,Jun,6.893321928215891
Chihuahuan Deserts,fwi,1983,Jun,44.05586612308258
Coast Range,fwi,1983,Jun,7.222464875437349
Colorado Plateaus,fwi,1983,Jun,31.16225260394716
Columbia Mountains/Northern Rockies,fwi,1983,Jun,7.313680680006459
Columbia Plateau,fwi,1983,Jun,23.171698579998402
Cross Timbers,fwi,1983,Jun,10.063316073165067
Driftless Area,fwi,1983,Jun,10.451131144038966
East Central Texas Plains,fwi,1983,Jun,10.355556174911424
Eastern Cascades Slopes and Foothills,fwi,1983,Jun,18.729173775971113
Eastern Corn Belt Plains,fwi,1983,Jun,9.120864142914193
Eastern Great Lakes Lowlands,fwi,1983,Jun,8.358740106611762
Edwards Plateau,fwi,1983,Jun,16.300570185419787
